club	   ***   	club  ; social club  ; society  ; guild  ; gild  ; lodge  ; order	society
col	   ***   	collar  ; neckband	clothes
colle	   ***   	glue  ; gum  ; mucilage	material
colline	   ***   	hill	geography
combat	   ***   	fight  ; fighting  ; combat  ; scrap	abstract
combustible fossile	   ***   	fossil fuel	environment
comité	   ***   	committee  ; commission	business
comme	   ***   	equally  ; as  ; every bit	adverb
commencement	   ***   	beginning  ; commencement  ; first  ; outset  ; get-go  ; start  ; kickoff  ; starting time  ; showtime  ; offset	time
comment allez-vous	   ***   	how are you	conversation
comment vous appelez-vous	   ***   	what is your name	conversation
commerce	   ***   	trade	business
commercer	   ***   	trade  ; merchandise	verb
commettant	   ***   	customer  ; client	business
commun	   ***   	common  ; mutual	adjective
compagnie	   ***   	company  ; companionship  ; fellowship  ; society	society
comparaison	   ***   	comparison  ; comparing	science
comparer	   ***   	compare	verb
complet	   ***   	complete  ; consummate	adjective
comprendre	   ***   	embrace  ; encompass  ; comprehend  ; cover	verb
comprendre	   ***   	understand	verb-basic
compte	   ***   	account  ; business relationship	business
comptes	   ***   	invoice  ; bill  ; account	business
comédien	   ***   	actor  ; histrion  ; player  ; thespian  ; role player	profession
concert	   ***   	concert	art
concevoir	   ***   	design  ; plan	verb
concombre	   ***   	cucumber  ; cuke	vegetable
concours	   ***   	contest  ; competition	business
concurrence	   ***   	competition	business
concurrent	   ***   	competitor  ; rival  ; challenger  ; competition  ; contender	sports
condition	   ***   	condition  ; status	abstract
conduire	   ***   	drive	verb
conduire	   ***   	lead  ; take  ; direct  ; conduct  ; guide	verb
conduite	   ***   	behavior  ; demeanor  ; demeanour  ; behaviour  ; conduct  ; deportment	abstract
connaissance	   ***   	knowledge  ; cognition  ; noesis	education
connecteur	   ***   	connection  ; connexion  ; connector  ; connecter  ; connective	abstract
conscient	   ***   	conscious  ; witting	adjective
conseil	   ***   	advice	business
conseil	   ***   	council	business
considérer	   ***   	see  ; consider  ; reckon  ; view  ; regard	verb
